name,is_hot,genre,style,popularity,engagement,valence,arousal,danceable,not_danceable,mood_group,aggressive,not_aggressive,happy,not_happy,sad,not_sad,relaxing,not_relaxing,bright,dark,acoustic,not_acoustic,electronic,not_electronic,instrumental,vocal,male,female,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,spectral_centroid,spectral_bandwidth,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6,spectral_contrast_7,spectral_rolloff,tempo,zero_crossing_rate,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,tonnetz_6
Don't Start Now Dua Lipa,1,dance,dance,0.5336994,0.8062749,5.4260287,4.4168715,0.97874355,0.021256456,"rollicking, cheerful, fun, sweet, amiable/good natured",0.049653545,0.9503465,0.4849394,0.51506054,0.88157356,0.11842637,0.70994663,0.29005343,0.5069078,0.49309215,0.020981947,0.9790181,0.9563379,0.043662094,0.046114165,0.9538858,0.115336485,0.8846635,-74.492714,77.33615,12.221227,21.111723,14.111739,9.198749,5.5704045,5.773791,1.1180013,8.328287,-1.8013749,5.0142045,-2.185401,0.34468007,0.37236455,0.4689573,0.39718398,0.47715056,0.39130285,0.46514782,0.41317442,0.3975185,0.45505145,0.3994026,0.48230544,2583.605411,2702.215932,17.73302865,14.86477518,18.12663774,17.70763684,17.84269415,18.07537725,47.50816827,5733.425143,123.046875,0.108133576,0.135655221,-0.0354225,0.074641471,-0.040866082,-0.001042397,-0.023226753
"MAMIII Becky G, KAROL G",1,reggae,pop,0.69752496,0.71473926,5.25037,4.31193,0.88411576,0.11588427,"literate, poignant, wistful, bittersweet, autumnal, brooding",0.03585801,0.96414196,0.577048,0.42295194,0.77499217,0.22500783,0.35583234,0.64416766,0.47523814,0.52476186,0.14362027,0.8563797,0.59653825,0.4034617,0.09140735,0.9085927,0.2969343,0.7030657,-149.81122,74.87327,-3.417516,21.541645,4.727535,-2.7618601,2.823027,-6.6643176,0.8649256,1.1132941,-6.145192,-1.2907077,-5.0887413,0.3158645,0.25593868,0.3202042,0.34147424,0.40068713,0.30983314,0.37134743,0.40146774,0.3134352,0.37219322,0.31034026,0.39097565,2487.65036,2516.411576,18.97928571,16.33434992,19.11864522,18.2034483,18.61733383,20.4641223,46.51522571,5100.492213,95.703125,0.108238199,0.18239989,-0.023066141,0.050365617,0.023564679,0.020354577,-0.000741424
More Than A Woman Bee Gees,1,electronic,soul,0.7755114,0.8391509,5.4168057,4.17236,0.9780506,0.021949353,"humorous, silly, campy, quirky, whimsical, witty, wry",0.009910241,0.9900897,0.8736882,0.1263118,0.6664485,0.33355153,0.5640511,0.4359489,0.48777997,0.51222,0.044955008,0.95504504,0.75268847,0.24731158,0.16373391,0.83626616,0.21464172,0.7853583,-56.037563,99.50801,0.14831135,23.028631,2.1185184,3.5616271,-1.8120489,6.638409,-6.1107006,4.6529436,-3.8435357,-0.21575065,1.0878195,0.4153351,0.357764,0.33514196,0.25656304,0.4060528,0.25289208,0.37516323,0.40820435,0.30094245,0.36091894,0.31815013,0.5780042,2225.961218,2446.701486,19.56630463,14.43673451,18.61770768,19.57153066,19.61597221,19.42826841,47.95224044,4811.615524,107.6660156,0.098131178,0.140642876,-0.035769284,0.103387229,0.058250708,-0.00561758,0.007339344
Calm Down Rema,1,latin,electronic,0.58868885,0.6660508,5.269323,4.3024335,0.9899987,0.010001322,"rollicking, cheerful, fun, sweet, amiable/good natured",0.004501656,0.99549836,0.11408472,0.88591534,0.8605644,0.1394356,0.20790891,0.79209113,0.43794918,0.5620508,0.002324341,0.99767566,0.96194726,0.03805266,0.22429904,0.7757009,0.22416483,0.77583516,-75.733284,109.911705,15.624676,8.489251,3.4657784,2.7997057,-4.3165836,-4.0502114,-6.596214,1.2248352,-7.5955896,3.0866363,-4.865046,0.3584016,0.32515714,0.2793286,0.4782828,0.28334174,0.25476566,0.3168614,0.2935357,0.3897381,0.2968193,0.50053394,0.5656023,2055.008586,2480.167301,23.2010137,17.64125972,20.81613264,19.12838651,19.93812968,18.79859485,47.62964101,4737.569885,143.5546875,0.071252366,-0.049011551,-0.179289508,0.180312584,0.023706674,-0.044211634,-0.022441386
"Ayo Girl (Fayahh Beat) [feat. Rema] Robinson, Jason Derulo, Rema",1,hiphop,rnb,0.68529695,0.71181136,5.4319224,4.2958603,0.9966583,0.003341694,"literate, poignant, wistful, bittersweet, autumnal, brooding",0.016391326,0.98360866,0.31932107,0.68067896,0.80507183,0.19492821,0.41079408,0.5892059,0.50440174,0.4955982,0.01731161,0.9826884,0.5774379,0.4225621,0.053599764,0.9464002,0.3130082,0.6869919,-54.099033,62.904423,3.8436816,19.397478,3.6221828,4.5786734,-4.3879743,1.5294971,-4.33805,4.848446,-2.9499521,1.2390605,-0.58132714,0.36775002,0.45111918,0.35953942,0.4687519,0.29195893,0.3468968,0.36986142,0.32983553,0.4585041,0.36819324,0.452775,0.3769669,2851.356087,2749.047981,21.40497692,16.8582163,20.3391722,19.58246535,19.80789449,18.3760761,47.046475,6217.922652,129.1992188,0.108013396,-0.190897069,-0.107207406,0.015708016,0.012103381,-0.0025546,-0.002423508
THATS WHAT I WANT Lil Nas X,1,hiphop,electronic,0.5220993,0.6679604,5.347468,4.362743,0.88279617,0.11720379,"aggressive, fiery, tense/anxious, intense, volatile, visceral",0.097127095,0.902873,0.50750047,0.4924995,0.7886765,0.21132351,0.43474412,0.5652559,0.5418353,0.45816466,0.0638261,0.9361739,0.83157843,0.16842167,0.16924007,0.83075994,0.46242377,0.53757626,-72.613014,81.74779,0.47408742,18.828941,6.213682,11.708744,3.6449344,8.798806,3.4144912,6.678186,4.7608047,3.156952,-5.549883,0.37994543,0.40802303,0.36360237,0.47536904,0.4355489,0.36291316,0.44111195,0.43015483,0.57987964,0.44782734,0.41951478,0.43467748,2424.971976,2536.859785,20.31380113,15.06529826,17.77370865,18.17729328,18.99258198,18.88561522,48.34194614,5196.251814,89.10290948,0.103021157,-0.000881263,-0.085112008,-0.031602155,0.045007719,0.013114074,-0.001401608
Back 2 You L1Z,1,pop,electronic,0.49896258,0.5845879,5.3729324,4.375251,0.9749168,0.02508308,"literate, poignant, wistful, bittersweet, autumnal, brooding",0.11650976,0.8834902,0.33886966,0.66113037,0.888131,0.11186896,0.28808817,0.7119118,0.53167444,0.4683255,0.024712969,0.9752871,0.9423646,0.05763538,0.21409574,0.78590417,0.087432824,0.9125672,-53.223946,89.66368,19.98683,9.404943,2.6121678,1.4115742,0.5043297,-6.198389,4.1494837,2.1123512,-3.6140652,3.738142,-3.7116663,0.44093177,0.27129975,0.4069383,0.38434505,0.2285036,0.32240915,0.2462339,0.43514237,0.32886583,0.23137958,0.29105067,0.28313386,2614.075572,2755.276851,20.15267109,16.07315191,20.04692882,20.27038843,19.2783605,18.20131881,46.66817578,5994.316829,117.4538352,0.103359445,-0.095867079,0.174572576,0.113374638,0.09177962,-0.030011596,0.031346973
New Thang Redfoo,1,hiphop,Hip-Hop,0.3260174,0.84643865,5.1047206,4.6128016,0.9579135,0.042086508,"aggressive, fiery, tense/anxious, intense, volatile, visceral",0.3006182,0.6993818,0.43050504,0.56949496,0.9107196,0.08928039,0.67992,0.3200799,0.47114256,0.52885747,0.005515985,0.99448407,0.8474614,0.15253855,0.09314388,0.9068562,0.5428073,0.45719275,-56.71066,51.960194,-8.55289,14.23154,0.44592467,8.678887,3.4416606,10.673278,0.90988034,11.236607,3.4239886,10.594418,3.1470587,0.3930262,0.34138775,0.4867124,0.38491514,0.41112956,0.47929686,0.46538493,0.62251455,0.54881454,0.53668225,0.4908508,0.37425098,2926.051964,2613.049055,21.14588274,13.92747765,17.82795219,16.55779818,17.21417405,17.50807674,47.61603665,5951.512469,99.38401442,0.122688002,0.064986985,0.231966219,0.209518402,0.024776134,0.060166901,-0.06066299
Glimpse of Us Joji,1,pop,rock,0.5584053,0.36431006,5.2254243,4.4032307,0.18157518,0.8184248,"literate, poignant, wistful, bittersweet, autumnal, brooding",0.004199596,0.99580044,0.036731146,0.9632688,0.12360385,0.8763961,0.046536624,0.9534634,0.5219609,0.4780391,0.88522476,0.11477522,0.13463214,0.8653679,0.20771253,0.7922874,0.7137173,0.28628272,-186.94301,124.43533,23.399687,20.314934,9.904011,4.0573196,4.570073,-1.206131,-15.3854065,-1.321774,-0.113465294,-6.564027,1.005423,0.3992069,0.31701952,0.25118783,0.34337524,0.22643784,0.26152363,0.16266553,0.28938964,0.40388548,0.2379441,0.31923786,0.23092058,1515.977247,2061.762749,20.12118854,18.83888154,23.36781242,22.5066579,19.60988815,19.72724377,46.94301131,3100.118443,161.4990234,0.05803724,-0.316537456,0.142954626,0.049118471,0.056949866,0.006349529,-0.010765591
Thot Shit Megan Thee Stallion,1,hiphop,Hip-Hop,0.34727424,0.7693964,5.352713,4.520984,0.86727184,0.13272813,"aggressive, fiery, tense/anxious, intense, volatile, visceral",0.30311736,0.69688267,0.41392294,0.58607703,0.81249386,0.18750614,0.50499624,0.4950038,0.47768998,0.52231,0.015106783,0.98489314,0.807565,0.19243501,0.17426574,0.8257343,0.41157696,0.588423,-163.51129,64.8239,0.15698785,20.377064,2.9503875,2.358822,-0.26175374,6.6601224,-6.1105127,4.3182325,-3.1734734,0.35128808,-2.8491094,0.5463205,0.45047578,0.42630038,0.41498953,0.42525917,0.46160486,0.5115686,0.48513773,0.45927814,0.47941598,0.48665816,0.5048953,2919.950042,2595.45575,19.85749508,13.42240274,16.46276008,16.15894211,17.17209905,17.40003193,49.33145463,5827.412001,129.1992188,0.151272713,0.028794955,-0.009945441,-0.001307507,0.046201411,0.00431488,-0.016859504
